Cód.,Município,Salario
1500859,Anapu (PA),1702.64
1500909,Augusto Corrêa (PA),1945.91
1500958,Aurora do Pará (PA),2084.61
1501006,Aveiro (PA),1955.32
1501105,Bagre (PA),1067.57
1501204,Baião (PA),1982
1501253,Bannach (PA),1890.2
1501303,Barcarena (PA),2845.72
1501402,Belém (PA),3483.3
1501451,Belterra (PA),1705.69
1501501,Benevides (PA),2001.72
1501576,Bom Jesus do Tocantins (PA),1821.15
1501600,Bonito (PA),1516.81
1501709,Bragança (PA),1879.13
1501725,Brasil Novo (PA),1693.88
1501758,Brejo Grande do Araguaia (PA),1587.56
1501782,Breu Branco (PA),2422.76
1501808,Breves (PA),2295.45
1501907,Bujaru (PA),1653.26
1501956,Cachoeira do Piriá (PA),1665.73
1502004,Cachoeira do Arari (PA),1799.29
1502103,Cametá (PA),2312.51
1502152,Canaã dos Carajás (PA),3334.45
1502202,Capanema (PA),1614.73
1502301,Capitão Poço (PA),1374.95
1502400,Castanhal (PA),1776.92
1502509,Chaves (PA),1823.5
1502608,Colares (PA),1879.62
1502707,Conceição do Araguaia (PA),2021.83
1502756,Concórdia do Pará (PA),2102.28
1502764,Cumaru do Norte (PA),2112.37
1502772,Curionópolis (PA),2684.72
1502806,Curralinho (PA),2196.91
1502855,Curuá (PA),1666.15
1502905,Curuçá (PA),1849.48
1502939,Dom Eliseu (PA),1808.01
1502954,Eldorado do Carajás (PA),1871.68
1503002,Faro (PA),1453.79
1503044,Floresta do Araguaia (PA),1969.84
1503077,Garrafão do Norte (PA),1888.5
1503093,Goianésia do Pará (PA),2011.34
1503101,Gurupá (PA),1965.36
1503200,Igarapé-Açu (PA),1733.63
1503309,Igarapé-Miri (PA),2020.47
1503408,Inhangapi (PA),1559.72
1503457,Ipixuna do Pará (PA),1967.54
1503507,Irituia (PA),1739.4
1503606,Itaituba (PA),2197.24
1503705,Itupiranga (PA),1952.48
1503754,Jacareacanga (PA),2379.85
1503804,Jacundá (PA),1889.73
1503903,Juruti (PA),2274.3
1504000,Limoeiro do Ajuru (PA),2022.95
1504059,Mãe do Rio (PA),1848.53
1504109,Magalhães Barata (PA),1353.69
1504208,Marabá (PA),2534.64
1504307,Maracanã (PA),1470.72
1504406,Marapanim (PA),1839.77
1504422,Marituba (PA),2077.24
1504455,Medicilândia (PA),1855.13
1504505,Melgaço (PA),2380.94
1504604,Mocajuba (PA),2049.15
1504703,Moju (PA),1837.04
1504752,Mojuí dos Campos (PA),1545.82
1504802,Monte Alegre (PA),1808.32
1504901,Muaná (PA),2262.38
1504950,Nova Esperança do Piriá (PA),1957.51
1504976,Nova Ipixuna (PA),2065.27
1505007,Nova Timboteua (PA),1686.33
1505031,Novo Progresso (PA),2378.86
1505064,Novo Repartimento (PA),2148.4
1505106,Óbidos (PA),1791.76
1505205,Oeiras do Pará (PA),2164.19
1505304,Oriximiná (PA),3353.02
1505403,Ourém (PA),1561.86
1505437,Ourilândia do Norte (PA),2504.36
1505486,Pacajá (PA),2280.2
1505494,Palestina do Pará (PA),1912.7
1505502,Paragominas (PA),2421.77
1505536,Parauapebas (PA),2941.81
1505551,Pau D'Arco (PA),1891.7
1505601,Peixe-Boi (PA),1391.9
1505635,Piçarra (PA),1559.97
1505650,Placas (PA),1524.63
1505700,Ponta de Pedras (PA),1586.19
1505809,Portel (PA),2050.34
1505908,Porto de Moz (PA),1867.94
1506005,Prainha (PA),1763.85
1506104,Primavera (PA),2502.55
1506112,Quatipuru (PA),1622.13
1506138,Redenção (PA),1887.6
1506161,Rio Maria (PA),1845.28
1506187,Rondon do Pará (PA),2141.09
1506195,Rurópolis (PA),1937.7
1506203,Salinópolis (PA),1712.69
1506302,Salvaterra (PA),1503.16
1506351,Santa Bárbara do Pará (PA),1449.04
1506401,Santa Cruz do Arari (PA),1661.29
1506500,Santa Izabel do Pará (PA),1749.03
1506559,Santa Luzia do Pará (PA),1801.41
1506583,Santa Maria das Barreiras (PA),1894.51
1506609,Santa Maria do Pará (PA),1439.65
1506708,Santana do Araguaia (PA),2095.53
1506807,Santarém (PA),2072.93
1506906,Santarém Novo (PA),1476.61
1507003,Santo Antônio do Tauá (PA),1982.55
1507102,São Caetano de Odivelas (PA),2028.43
1507151,São Domingos do Araguaia (PA),1709.19
1507201,São Domingos do Capim (PA),1805.97
1507300,São Félix do Xingu (PA),2237.82
1507409,São Francisco do Pará (PA),1766.18
1507458,São Geraldo do Araguaia (PA),1676.51
1507466,São João da Ponta (PA),1516.86
1507474,São João de Pirabas (PA),1836.61
1507508,São João do Araguaia (PA),2083.98
1507607,São Miguel do Guamá (PA),1522.51
1507706,São Sebastião da Boa Vista (PA),1879.93
1507755,Sapucaia (PA),1636.8
1507805,Senador José Porfírio (PA),2213.02
1507904,Soure (PA),1856.78
1507953,Tailândia (PA),1714.54
1507961,Terra Alta (PA),1618.22
1507979,Terra Santa (PA),1742.15
1508001,Tomé-Açu (PA),1622.81
1508035,Tracuateua (PA),2128.42
1508050,Trairão (PA),1950.74
1508084,Tucumã (PA),1776.76
1508100,Tucuruí (PA),2447.45
1508126,Ulianópolis (PA),1639.11
1508159,Uruará (PA),1694.4
1508209,Vigia (PA),1754.1
1508308,Viseu (PA),1894.12
1508357,Vitória do Xingu (PA),2743.35
1508407,Xinguara (PA),1805.48
1600055,Serra do Navio (AP),1986.1
1600105,Amapá (AP),2367.09
1600154,Pedra Branca do Amapari (AP),3298.55
1600204,Calçoene (AP),1738.32
1600212,Cutias (AP),1331.37
1600238,Ferreira Gomes (AP),3194.33
1600253,Itaubal (AP),1783.68
1600279,Laranjal do Jari (AP),2076.74
1600303,Macapá (AP),4071.38
1600402,Mazagão (AP),1954.29
1600501,Oiapoque (AP),1704.83
1600535,Porto Grande (AP),1795.58
1600550,Pracuúba (AP),1586.06
1600600,Santana (AP),2007.98
1600709,Tartarugalzinho (AP),1495.9
1600808,Vitória do Jari (AP),1978.4
1700251,Abreulândia (TO),1645.36
1700301,Aguiarnópolis (TO),1471.4
1700350,Aliança do Tocantins (TO),1631.02
1700400,Almas (TO),1457.72
1700707,Alvorada (TO),1662.84
1701002,Ananás (TO),1432.98
1701051,Angico (TO),1489.84
1701101,Aparecida do Rio Negro (TO),1650.6
1701309,Aragominas (TO),1725.91
1701903,Araguacema (TO),1497.22
1702000,Araguaçu (TO),1641.28
1702109,Araguaína (TO),2021.28
1702158,Araguanã (TO),1381.77
1702208,Araguatins (TO),1926.25
1702307,Arapoema (TO),2587.56
1702406,Arraias (TO),3048.66
1702554,Augustinópolis (TO),1683.46
1702703,Aurora do Tocantins (TO),1338.29
1702901,Axixá do Tocantins (TO),2142.12
1703008,Babaçulândia (TO),1518.54
1703057,Bandeirantes do Tocantins (TO),1723.01
1703073,Barra do Ouro (TO),1403.47
1703107,Barrolândia (TO),1521.05
1703206,Bernardo Sayão (TO),1769.12
1703305,Bom Jesus do Tocantins (TO),1607.76
1703602,Brasilândia do Tocantins (TO),1553.43
1703701,Brejinho de Nazaré (TO),1590.05
1703800,Buriti do Tocantins (TO),1306.77
1703826,Cachoeirinha (TO),1368.33
1703842,Campos Lindos (TO),1707.92
1703867,Cariri do Tocantins (TO),1925.31
1703883,Carmolândia (TO),1058.73
1703891,Carrasco Bonito (TO),1341.88
1703909,Caseara (TO),1946.97
1704105,Centenário (TO),1456
1704600,Chapada de Areia (TO),1386.89
1705102,Chapada da Natividade (TO),1473.64
1705508,Colinas do Tocantins (TO),1937.18
1705557,Combinado (TO),1595.95
1705607,Conceição do Tocantins (TO),1421.05
1706001,Couto Magalhães (TO),1935.05
1706100,Cristalândia (TO),1526.6
1706258,Crixás do Tocantins (TO),1533.61
1706506,Darcinópolis (TO),1512.59
1707009,Dianópolis (TO),2037.65
1707108,Divinópolis do Tocantins (TO),1565.88
1707207,Dois Irmãos do Tocantins (TO),1590.88
1707306,Dueré (TO),1600.64
1707405,Esperantina (TO),1427.29
1707553,Fátima (TO),1516.5
1707652,Figueirópolis (TO),1692.75
1707702,Filadélfia (TO),1586.2
1708205,Formoso do Araguaia (TO),1805.41
1708254,Fortaleza do Tabocão (TO),1820.35
1708304,Goianorte (TO),1269.38
1709005,Goiatins (TO),1824.89
1709302,Guaraí (TO),1959.48
1709500,Gurupi (TO),2042.15
1709807,Ipueiras (TO),1391.84
1710508,Itacajá (TO),1633.11
1710706,Itaguatins (TO),1828.21
1710904,Itapiratins (TO),1658.79
1711100,Itaporã do Tocantins (TO),1446.52
1711506,Jaú do Tocantins (TO),1683.46
1711803,Juarina (TO),1518.76
1711902,Lagoa da Confusão (TO),2102.94
1711951,Lagoa do Tocantins (TO),1459.66
1712009,Lajeado (TO),1698.68
1712157,Lavandeira (TO),1217.33
1712405,Lizarda (TO),1602.33
1712454,Luzinópolis (TO),1465.86
1712504,Marianópolis do Tocantins (TO),1689.34
1712702,Mateiros (TO),1264.52
1712801,Maurilândia do Tocantins (TO),1637.7
1713205,Miracema do Tocantins (TO),1988.03
1713304,Miranorte (TO),1687
1713601,Monte do Carmo (TO),1555.44
1713700,Monte Santo do Tocantins (TO),1540.64
1713809,Palmeiras do Tocantins (TO),1532
1713957,Muricilândia (TO),1346.3
1714203,Natividade (TO),1788.25
1714302,Nazaré (TO),1326.9
1714880,Nova Olinda (TO),1539.62
1715002,Nova Rosalândia (TO),1635.53
1715101,Novo Acordo (TO),1382.77
1715150,Novo Alegre (TO),1331.68
1715259,Novo Jardim (TO),1763.36
